country_region_code,country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases,deaths
US,United States,2/15/2020,6,2,15,3,2,-1,15,0
US,United States,2/16/2020,7,1,16,2,0,-1,15,0
US,United States,2/17/2020,6,0,28,-9,-24,5,25,0
US,United States,2/18/2020,0,-1,6,1,0,1,25,0
US,United States,2/19/2020,2,0,8,1,1,0,25,0
US,United States,2/20/2020,1,0,4,0,0,1,27,0
US,United States,2/21/2020,2,-2,4,1,0,0,30,0
US,United States,2/22/2020,7,3,23,5,4,-1,30,0
US,United States,2/23/2020,7,3,23,5,2,-1,30,0
US,United States,2/24/2020,2,1,9,1,3,0,43,0
US,United States,2/25/2020,4,1,9,2,2,0,45,0
US,United States,2/26/2020,7,2,5,3,2,-1,60,0
US,United States,2/27/2020,8,3,12,4,2,0,60,0
US,United States,2/28/2020,8,3,10,5,2,-1,65,0
US,United States,2/29/2020,12,7,21,7,4,-2,70,1
US,United States,3/1/2020,13,9,18,7,3,-1,88,3
US,United States,3/2/2020,7,6,10,2,3,-1,104,6
US,United States,3/3/2020,11,10,20,3,2,-1,125,10
US,United States,3/4/2020,8,6,17,2,3,-1,161,12
US,United States,3/5/2020,8,7,21,2,3,-1,228,12
US,United States,3/6/2020,5,3,12,2,2,-1,311,15
US,United States,3/7/2020,10,8,29,7,5,-1,428,19
US,United States,3/8/2020,10,7,40,5,2,-1,547,22
US,United States,3/9/2020,6,6,31,-1,0,0,748,26
US,United States,3/10/2020,6,7,18,-3,-2,1,1018,31
US,United States,3/11/2020,8,10,26,-2,-1,0,1263,37
US,United States,3/12/2020,6,23,19,-6,-3,1,1668,43
US,United States,3/13/2020,2,26,4,-10,-7,3,2224,50
US,United States,3/14/2020,-6,18,3,-10,-1,3,2898,60
US,United States,3/15/2020,-9,12,5,-13,-7,3,3600,68
US,United States,3/16/2020,-8,21,-1,-22,-20,8,4507,91
US,United States,3/17/2020,-18,14,8,-26,-27,11,5906,117
US,United States,3/18/2020,-24,8,6,-30,-31,13,8350,162
US,United States,3/19/2020,-28,7,2,-36,-33,15,12393,212
US,United States,3/20/2020,-32,5,-2,-37,-36,16,18001,275
US,United States,3/21/2020,-40,-2,-3,-36,-24,12,24526,358
US,United States,3/22/2020,-44,-13,-12,-44,-31,11,33063,455
US,United States,3/23/2020,-38,-10,-23,-47,-41,17,43500,574
US,United States,3/24/2020,-39,-12,-10,-46,-45,19,53924,769
US,United States,3/25/2020,-40,-15,-7,-47,-46,19,68530,1039
US,United States,3/26/2020,-40,-14,3,-48,-47,20,85558,1345
US,United States,3/27/2020,-42,-16,-7,-49,-46,21,102829,1758
US,United States,3/28/2020,-48,-19,-25,-49,-34,15,123723,2287
US,United States,3/29/2020,-47,-22,-19,-51,-38,12,142397,2702
US,United States,3/30/2020,-40,-18,-15,-50,-48,19,163863,3356
US,United States,3/31/2020,-40,-16,-16,-49,-49,20,188413,4290
US,United States,4/1/2020,-37,-11,-7,-48,-49,20,215161,5315
US,United States,4/2/2020,-40,-11,-9,-51,-50,21,244619,6542
US,United States,4/3/2020,-42,-12,-21,-51,-50,22,277262,7902
US,United States,4/4/2020,-48,-15,-24,-50,-37,15,312497,9466
US,United States,4/5/2020,-49,-20,-20,-54,-40,13,337955,10828
US,United States,4/6/2020,-42,-16,-10,-52,-50,20,367567,12330
US,United States,4/7/2020,-42,-14,-2,-51,-51,21,399352,14579
US,United States,4/8/2020,-42,-15,-6,-51,-51,21,431169,16673
US,United States,4/9/2020,-43,-13,-21,-54,-52,22,465846,18772
US,United States,4/10/2020,-43,-13,-21,-54,-56,24,499297,21028
US,United States,4/11/2020,-45,-7,-16,-49,-38,14,531011,23105
US,United States,4/12/2020,-63,-39,-36,-56,-45,13,558150,24785
US,United States,4/13/2020,-45,-22,-31,-55,-51,21,583894,26547
US,United States,4/14/2020,-40,-16,-15,-50,-50,20,610541,29246
US,United States,4/15/2020,-36,-13,-16,-49,-49,20,640557,31994
US,United States,4/16/2020,-39,-13,-14,-50,-49,21,672162,34264
US,United States,4/17/2020,-42,-17,-22,-51,-48,22,703651,36626
US,United States,4/18/2020,-45,-15,-20,-47,-33,14,732031,38571
US,United States,4/19/2020,-45,-19,-10,-50,-37,11,757385,40089
US,United States,4/20/2020,-39,-16,-7,-49,-48,19,784664,41919
US,United States,4/21/2020,-38,-14,-8,-49,-49,20,810143,44587
US,United States,4/22/2020,-38,-14,-9,-48,-49,20,838845,46896
US,United States,4/23/2020,-40,-14,-14,-50,-49,21,872631,49064
US,United States,4/24/2020,-40,-16,-14,-50,-48,21,909471,51191
US,United States,4/25/2020,-41,-11,2,-42,-32,12,943743,53151
US,United States,4/26/2020,-42,-16,-11,-48,-36,11,970350,54406
US,United States,4/27/2020,-35,-13,-4,-48,-46,18,993704,55979
US,United States,4/28/2020,-34,-10,6,-45,-48,12,1018356,58373
US,United States,4/29/2020,-34,-11,-7,-46,-47,19,1045059,60887
US,United States,4/30/2020,-34,-9,-7,-47,-47,19,1075474,63097
US,United States,5/1/2020,-32,-7,7,-43,-45,18,1109433,64859
US,United States,5/2/2020,-34,-4,28,-35,-29,10,1138901,66442
US,United States,5/3/2020,-34,-8,22,-40,-31,8,1164994,67773
US,United States,5/4/2020,-29,-7,5,-44,-44,16,1186919,68832
US,United States,5/5/2020,-28,-3,5,-43,-45,17,1210626,71066
US,United States,5/6/2020,-29,-6,6,-43,-44,17,1235131,73774
US,United States,5/7/2020,-29,-3,21,-42,-44,17,1263942,75733
US,United States,5/8/2020,-32,-5,-2,-43,-43,18,1291526,77307
US,United States,5/9/2020,-30,7,9,-35,-26,9,1316441,78761
